First,Second,Third,Fourth,Fifth,Sixth
neutral,disgust,fear,sad,happy,anger
anger,disgust,neutral,happy,sad,fear
happy,neutral,anger,sad,disgust,fear
disgust,happy,sad,anger,neutral,fear
neutral,anger,disgust,happy,sad,fear
fear,happy,sad,neutral,disgust,anger
disgust,sad,happy,fear,neutral,anger
fear,disgust,anger,neutral,sad,happy
neutral,anger,sad,disgust,fear,happy
fear,happy,sad,neutral,anger,disgust
fear,sad,anger,neutral,happy,disgust
happy,disgust,fear,anger,sad,neutral
anger,neutral,fear,sad,disgust,happy
sad,happy,disgust,neutral,fear,anger
happy,neutral,anger,fear,sad,disgust
anger,neutral,sad,fear,happy,disgust
disgust,neutral,fear,anger,sad,happy
anger,fear,sad,disgust,neutral,happy
anger,disgust,neutral,happy,sad,fear
happy,fear,anger,neutral,disgust,sad
anger,fear,neutral,disgust,sad,happy
disgust,sad,neutral,happy,fear,anger
sad,fear,neutral,happy,disgust,anger
fear,sad,disgust,happy,neutral,anger
fear,happy,sad,neutral,disgust,anger
neutral,disgust,anger,happy,sad,fear
anger,happy,sad,fear,disgust,neutral
fear,neutral,disgust,anger,sad,happy
anger,disgust,sad,happy,fear,neutral
disgust,anger,neutral,fear,sad,happy
sad,happy,disgust,anger,fear,neutral
happy,neutral,disgust,sad,fear,anger
happy,sad,neutral,fear,disgust,anger
fear,anger,disgust,happy,sad,neutral
anger,fear,happy,sad,neutral,disgust
happy,anger,sad,fear,disgust,neutral
fear,anger,sad,disgust,neutral,happy
happy,neutral,fear,sad,anger,disgust
neutral,disgust,happy,sad,anger,fear
disgust,anger,happy,neutral,sad,fear
anger,sad,neutral,happy,disgust,fear
sad,neutral,anger,fear,disgust,happy
anger,sad,fear,happy,neutral,disgust
happy,neutral,anger,sad,disgust,fear
neutral,sad,disgust,happy,fear,anger
fear,anger,sad,happy,neutral,disgust
disgust,anger,fear,neutral,happy,sad
disgust,neutral,fear,happy,sad,anger
fear,disgust,happy,anger,sad,neutral
neutral,happy,fear,anger,sad,disgust
disgust,sad,anger,neutral,happy,fear
sad,neutral,anger,disgust,fear,happy
neutral,happy,sad,fear,disgust,anger
fear,anger,disgust,happy,neutral,sad
sad,anger,neutral,disgust,happy,fear
fear,anger,sad,neutral,happy,disgust
neutral,sad,happy,anger,disgust,fear
fear,anger,disgust,neutral,sad,happy
disgust,fear,sad,neutral,anger,happy
happy,anger,sad,disgust,neutral,fear
happy,anger,fear,disgust,neutral,sad
happy,fear,sad,neutral,disgust,anger
anger,happy,fear,disgust,sad,neutral
happy,anger,disgust,sad,fear,neutral
neutral,happy,fear,sad,disgust,anger
neutral,disgust,happy,fear,sad,anger
happy,disgust,neutral,fear,anger,sad
neutral,happy,anger,fear,sad,disgust
disgust,fear,happy,sad,neutral,anger
happy,fear,anger,sad,neutral,disgust
happy,sad,anger,fear,disgust,neutral
happy,fear,sad,neutral,disgust,anger
disgust,anger,neutral,sad,happy,fear
neutral,anger,happy,disgust,sad,fear
sad,disgust,anger,neutral,fear,happy
happy,sad,disgust,fear,neutral,anger
fear,anger,happy,sad,neutral,disgust
neutral,disgust,anger,sad,happy,fear
anger,neutral,disgust,sad,fear,happy
sad,fear,neutral,disgust,happy,anger
disgust,sad,neutral,anger,happy,fear
happy,neutral,sad,disgust,fear,anger
disgust,anger,fear,neutral,sad,happy
disgust,sad,fear,neutral,anger,happy
neutral,sad,happy,fear,disgust,anger
anger,sad,neutral,fear,happy,disgust
sad,anger,disgust,fear,neutral,happy
disgust,sad,anger,happy,fear,neutral
happy,neutral,anger,disgust,fear,sad
